Date,XGBoost,LSTM,LASSO,Actual
2017-08,26814.58,29695.668063402176,26785.77429582578,26974.5
2017-09,27311.213,29126.158890128136,26783.883398800288,27500.0
2017-10,26150.441,28060.466206789017,26341.4486208336,26074.6
2017-11,26527.266,27547.28099769354,26359.15586519446,26749.0
2017-12,26489.27,27760.36593419313,26376.863110331866,26554.0
2018-01,26575.172,27222.434171050787,26884.16527964438,25677.3
2018-02,26368.615,27272.958396554,26890.716853045524,26351.8
2018-03,26963.824,27741.095724105835,26897.268425670125,27314.0
2018-04,28147.92,28873.97695690393,27277.35491663167,28338.0
2018-05,27256.545,30527.11640524864,27252.2479531798,27331.0
2018-06,26837.555,30306.580728828907,27258.799525804403,26928.0
2018-07,26255.37,29806.037457048893,27421.178196481967,26201.0
2018-08,26433.75,28766.521808624268,27427.72976988311,26492.0
2018-09,27196.383,28197.674724042416,27402.622805654697,27430.0
2018-10,26854.836,27962.71026217937,26892.62659533994,26836.0
2018-11,26988.367,27865.35473614931,26899.178168741084,27221.0
2018-12,26709.2,27360.250702023503,26905.729741365685,26672.0
2019-01,25907.45,26825.55394116044,27780.93971148149,25898.3
2019-02,27082.838,27551.6175467372,27772.29553914373,27215.0
2019-03,28618.902,28003.618374824524,27763.65136680598,28721.5
2019-04,29548.633,29504.21153336764,28163.84833418609,30120.2
2019-05,30692.504,30803.636824309822,28134.098464582803,30853.2
2019-06,29743.883,29598.01552069187,28125.45429224505,29799.9
2019-07,28019.605,29233.75331443548,28262.46910045109,28014.6
2019-08,27855.164,28948.11875653267,28253.82492811334,26987.0
2019-09,27539.07,28089.97742539644,28224.075067555343,26936.7
2019-10,27829.885,27387.053951501846,27769.24112056139,28026.0
2019-11,26988.96,27490.0971095562,27760.596948223632,26958.0
2019-12,27251.268,26979.10286009312,27751.95277588588,26295.0
2020-01,25811.86,26745.08325946331,28599.10400452638,27423.0
2020-02,25897.246,27065.55792671442,28590.72710260596,27112.3
2020-03,25885.986,28020.63484555483,28582.350204026035,28636.7
2020-04,26357.602,29761.827341914177,29597.09273625181,27747.0
2020-05,26280.17,28978.2735992074,29614.344174291604,28328.0
2020-06,26440.91,28834.06065839529,29605.96727571168,27240.0
2020-07,27358.475,28225.05934542417,29369.68436937404,26855.0
2020-08,27978.404,27834.16165399552,29361.30746745362,27235.0
2020-09,26873.947,27432.14878594876,29378.558907929382,27159.4
2020-10,26764.81,27578.90958121419,28810.5307516352,26161.6
2020-11,26840.88,27528.172221183777,28802.153849714778,27433.0
2020-12,26914.729,26038.52225446701,28793.776951134856,25924.1
2021-01,25801.031,26765.666040599343,29416.25660430956,25686.2
2021-02,25801.031,26602.537938058376,29426.810347465733,26318.8
2021-03,25944.512,28438.26562088728,29437.364084717443,29536.8
2021-04,26918.656,29637.577298402783,29892.835424925885,30135.3
2021-05,26899.666,29025.280841231342,29866.6049693878,29702.0
2021-06,26860.572,28631.93685078621,29877.15870663952,29692.1
2021-07,26866.773,28456.25966161489,30088.00077061592,28690.5
2021-08,26784.064,27987.153732597828,30098.554513772084,27642.1
2021-09,27030.818,27484.790376365185,30072.32404328425,26841.2
2021-10,26832.154,27768.32867178321,29393.69404748413,26920.4
2021-11,26646.51,27746.51007968188,29404.2477906403,27346.9
2021-12,26713.377,26105.478677213192,29414.801527892007,25596.9
2022-01,25163.58,26713.85641342401,30747.612165716462,26688.4
2022-02,25381.457,27081.21012544632,30758.418629089043,27672.5
2022-03,25572.55,29218.857637763023,30769.22508655716,30349.0
2022-04,26139.445,30763.925746917725,31216.90671242033,32254.5
2022-05,26706.016,29297.01364684105,31043.79214614048,29675.3
2022-06,26706.88,29074.72330349684,31054.5986036086,29593.6
2022-07,26658.94,29103.497519791126,31150.76775060774,29558.1
2022-08,26667.152,28487.832587480545,31161.574213980315,28951.8
2022-09,26634.518,27617.461607724428,30988.45965084131,27808.0
2022-10,25990.275,27390.65877383948,30481.853249391606,27041.9
2022-11,25750.492,27961.69470781088,30492.65971276418,27832.7
2022-12,25634.326,26325.94893610477,30503.466170232303,27124.7
