Date,Year,Population,Temperature,CPI,GDP,Peak
2007-08,-0.5,-0.2489120974760688,-0.048707152076115534,-0.3913542780810806,-0.3991005568571353,-0.28815952999661043
2007-09,-0.5,-0.25500435161009705,-0.042693925384611475,-0.4192437048484585,-0.3991005568571353,-0.26446729183143125
2007-10,-0.5,-0.2610966057441253,-0.036680698693107416,-0.4192437048484585,-0.2082264684212931,-0.31737656761947797
2007-11,-0.5,-0.2671888598781571,-0.030667464785725684,-0.4192437048484585,-0.2082264684212931,-0.32996271607727934
2007-12,-0.5,-0.2732811140121889,-0.024654238094221625,-0.4192437048484585,-0.2082264684212931,-0.27640944526042244
2008-01,-0.4000000000000057,-0.03974470670148378,-0.5087191779810922,-0.05011894098095304,-0.18891723145345107,-0.3017173200768273
2008-02,-0.4000000000000057,-0.0498984612706721,-0.4876728809528892,-0.05011894098095304,-0.18891723145345107,-0.30451926336007196
2008-03,-0.4000000000000057,-0.060052219321150346,-0.4666265767088049,-0.05011894098095304,-0.18891723145345107,-0.14477460173991652
2008-04,-0.4000000000000057,-0.07020597737162859,-0.4455802724647242,-0.05011894098095304,-0.3269512975178448,-0.09437351711670994
2008-05,-0.4000000000000057,-0.08035973194082047,-0.4245339754365176,-0.12394389375445414,-0.3269512975178448,-0.202632470907242
2008-06,-0.4000000000000057,-0.09051348999129871,-0.4034876711924369,-0.12394389375445414,-0.3269512975178448,-0.22683312620042928
2008-07,-0.4000000000000057,-0.10066724804177696,-0.3824413669483562,-0.12394389375445414,-0.34138756288557826,-0.2163032425714606
2008-08,-0.4000000000000057,-0.11082100261096883,-0.3613950699201496,-0.12394389375445414,-0.34138756288557826,-0.2048921025872783
2008-09,-0.4000000000000057,-0.12097476066144708,-0.34034876567606887,-0.19776884652795523,-0.34138756288557826,-0.27000338944752
2008-10,-0.4000000000000057,-0.13112851871192532,-0.3193024614319846,-0.19776884652795523,-0.2629055318702669,-0.30415772229126636
2008-11,-0.4000000000000057,-0.1412822732811172,-0.29825616440378155,-0.19776884652795523,-0.2629055318702669,-0.36183482092418906
2008-12,-0.4000000000000057,-0.15143603133159544,-0.2772098601596973,-0.19776884652795523,-0.2629055318702669,-0.5659699468986554
2009-01,-0.30000000000001137,-0.05802146910357209,0.2621767898229983,-0.25518825440473414,-0.3078024013931264,-0.542379392159078
2009-02,-0.30000000000001137,-0.06208296953873216,0.2387251963454915,-0.25518825440473414,-0.3078024013931264,-0.2993898994463904
2009-03,-0.30000000000001137,-0.06614447345518215,0.2152736028679847,-0.25518825440473414,-0.3078024013931264,-0.23561179527736975
