,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
all_flags,Population005CPI2GDP2,Population005CPI3GDP2,Population005CPI4GDP2,Population01CPI2GDP2,Population01CPI3GDP2,Population01CPI4GDP2,Population015CPI2GDP2,Population015CPI3GDP2,Population015CPI4GDP2,Population005CPI2GDP3,Population005CPI3GDP3,Population005CPI4GDP3,Population01CPI2GDP3,Population01CPI3GDP3,Population01CPI4GDP3,Population015CPI2GDP3,Population015CPI3GDP3,Population015CPI4GDP3,Population005CPI2GDP4,Population005CPI3GDP4,Population005CPI4GDP4,Population01CPI2GDP4,Population01CPI3GDP4,Population01CPI4GDP4,Population015CPI2GDP4,Population015CPI3GDP4,Population015CPI4GDP4
2027-08,26558.52734375,26558.52734375,26558.52734375,26646.916015625,26646.916015625,26646.916015625,26863.671875,26863.671875,26863.671875,26558.52734375,26558.52734375,26558.52734375,26646.916015625,26646.916015625,26646.916015625,26863.671875,26863.671875,26863.671875,26558.52734375,26558.52734375,26558.52734375,26646.916015625,26646.916015625,26646.916015625,26863.671875,26863.671875,26863.671875
2027-09,26809.1328125,26809.1328125,26809.1328125,26850.072265625,26850.072265625,26850.072265625,27076.201171875,27076.201171875,27076.201171875,26809.1328125,26809.1328125,26809.1328125,26850.072265625,26850.072265625,26850.072265625,27076.201171875,27076.201171875,27076.201171875,26809.1328125,26809.1328125,26809.1328125,26850.072265625,26850.072265625,26850.072265625,27076.201171875,27076.201171875,27076.201171875
2027-10,26661.45703125,26661.45703125,26661.45703125,26713.529296875,26713.529296875,26713.529296875,26925.486328125,26925.486328125,26925.486328125,26661.45703125,26661.45703125,26661.45703125,26713.529296875,26713.529296875,26713.529296875,26925.486328125,26925.486328125,26925.486328125,26661.45703125,26661.45703125,26661.45703125,26713.529296875,26713.529296875,26713.529296875,26925.486328125,26925.486328125,26925.486328125
2027-11,26718.650390625,26718.650390625,26718.650390625,26782.939453125,26782.939453125,26782.939453125,27049.796875,27049.796875,27049.796875,26718.650390625,26718.650390625,26718.650390625,26782.939453125,26782.939453125,26782.939453125,27049.796875,27049.796875,27049.796875,26718.650390625,26718.650390625,26718.650390625,26782.939453125,26782.939453125,26782.939453125,27049.796875,27049.796875,27049.796875
2027-12,26709.759765625,26709.759765625,26709.759765625,26796.123046875,26796.123046875,26796.123046875,27003.48046875,27003.48046875,27003.48046875,26709.759765625,26709.759765625,26709.759765625,26796.123046875,26796.123046875,26796.123046875,27003.48046875,27003.48046875,27003.48046875,26709.759765625,26709.759765625,26709.759765625,26796.123046875,26796.123046875,26796.123046875,27003.48046875,27003.48046875,27003.48046875
2028-01,26622.759765625,26622.759765625,26622.759765625,26756.74609375,26756.74609375,26756.74609375,26835.01953125,26835.01953125,26835.01953125,26622.759765625,26622.759765625,26622.759765625,26756.74609375,26756.74609375,26756.74609375,26835.01953125,26835.01953125,26835.01953125,26622.759765625,26622.759765625,26622.759765625,26756.74609375,26756.74609375,26756.74609375,26835.01953125,26835.01953125,26835.01953125
2028-02,26770.22265625,26770.22265625,26770.22265625,26934.912109375,26934.912109375,26934.912109375,26989.990234375,26989.990234375,26989.990234375,26770.22265625,26770.22265625,26770.22265625,26934.912109375,26934.912109375,26934.912109375,26989.990234375,26989.990234375,26989.990234375,26770.22265625,26770.22265625,26770.22265625,26934.912109375,26934.912109375,26934.912109375,26989.990234375,26989.990234375,26989.990234375
2028-03,26647.400390625,26647.400390625,26647.400390625,26751.1328125,26751.1328125,26751.1328125,27060.66015625,27060.66015625,27060.66015625,26647.400390625,26647.400390625,26647.400390625,26751.1328125,26751.1328125,26751.1328125,27060.66015625,27060.66015625,27060.66015625,26647.400390625,26647.400390625,26647.400390625,26751.1328125,26751.1328125,26751.1328125,27060.66015625,27060.66015625,27060.66015625
2028-04,26626.416015625,26626.416015625,26626.416015625,26751.1328125,26751.1328125,26751.1328125,27171.185546875,27171.185546875,27171.185546875,26626.416015625,26626.416015625,26626.416015625,26751.1328125,26751.1328125,26751.1328125,27171.185546875,27171.185546875,27171.185546875,26626.416015625,26626.416015625,26626.416015625,26751.1328125,26751.1328125,26751.1328125,27171.185546875,27171.185546875,27171.185546875
2028-05,26626.416015625,26626.416015625,26626.416015625,26762.76953125,26762.76953125,26762.76953125,27827.28515625,27827.28515625,27827.28515625,26626.416015625,26626.416015625,26626.416015625,26762.76953125,26762.76953125,26762.76953125,27827.28515625,27827.28515625,27827.28515625,26626.416015625,26626.416015625,26626.416015625,26762.76953125,26762.76953125,26762.76953125,27827.28515625,27827.28515625,27827.28515625
